kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 50 : 100 600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 49 : 100 600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 46 : 100 430 0 0 0 13 10 0 0 
a.1.sm_52.ptx 45 : 100 1000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 100 700 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 100 1000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 100 29190 0 0 0 13 10 0 0 
a.1.sm_52.ptx 41 : 100 20550 0 0 0 13 10 0 0 
a.1.sm_52.ptx 40 : 100 1000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 26 : 100 26690 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 100 700 0 0 0 0 0 0 0 
a.1.sm_52.ptx 27 : 100 26690 0 0 0 0 0 0 0 
a.1.sm_52.ptx 28 : 100 26590 0 0 0 0 0 0 0 
a.1.sm_52.ptx 29 : 100 600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 30 : 100 600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 31 : 100 600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 32 : 100 1100 0 0 0 0 0 0 0 
a.1.sm_52.ptx 33 : 100 700 0 0 0 0 0 0 0 
a.1.sm_52.ptx 34 : 100 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 36 : 100 700 0 0 0 0 0 0 0 
a.1.sm_52.ptx 37 : 100 1000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 100 1000 0 0 0 0 0 0 0 
