kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 72 : 12544 71904 0 0 0 0 0 0 0 
a.1.sm_52.ptx 69 : 11663 239526 0 0 0 2109 378 0 0 
a.1.sm_52.ptx 68 : 11663 107923 0 0 0 0 0 0 0 
a.1.sm_52.ptx 67 : 11663 110569 0 0 0 0 0 0 0 
a.1.sm_52.ptx 66 : 11663 118714 0 0 0 0 0 0 0 
a.1.sm_52.ptx 65 : 11663 70042 0 0 0 0 0 0 0 
a.1.sm_52.ptx 62 : 11663 58957 0 0 0 0 0 0 0 
a.1.sm_52.ptx 61 : 12544 4465 0 0 0 0 0 0 60 
a.1.sm_52.ptx 60 : 12544 75648 0 0 0 0 0 0 0 
a.1.sm_52.ptx 59 : 12544 75264 0 0 0 0 0 0 0 
a.1.sm_52.ptx 58 : 12544 75264 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 12544 150016 0 0 0 0 0 0 0 
a.1.sm_52.ptx 37 : 12544 157440 0 0 0 0 0 0 0 
a.1.sm_52.ptx 36 : 12544 98176 0 0 0 0 0 0 0 
a.1.sm_52.ptx 35 : 12544 98592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 34 : 12544 100640 0 0 0 0 0 0 0 
a.1.sm_52.ptx 33 : 12544 147520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 32 : 12544 79328 0 0 0 0 0 0 0 
a.1.sm_52.ptx 31 : 12544 81152 0 0 0 0 0 0 0 
a.1.sm_52.ptx 30 : 12544 84544 0 0 0 0 0 0 0 
a.1.sm_52.ptx 29 : 12544 168608 0 0 0 0 0 0 0 
a.1.sm_52.ptx 28 : 12544 184672 0 0 0 0 0 0 0 
a.1.sm_52.ptx 27 : 12544 151936 0 0 0 0 0 0 0 
a.1.sm_52.ptx 56 : 1392384 7002976 0 0 0 0 0 0 0 
a.1.sm_52.ptx 26 : 12544 133024 0 0 0 0 0 0 0 
a.1.sm_52.ptx 55 : 1392384 9078112 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 12544 119008 0 0 0 0 0 0 0 
a.1.sm_52.ptx 40 : 12544 134976 0 0 0 0 0 0 0 
a.1.sm_52.ptx 41 : 12544 137408 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 12544 97440 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 12544 110112 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 12544 101536 0 0 0 0 0 0 0 
a.1.sm_52.ptx 47 : 1392384 12605696 0 0 0 0 0 0 0 
a.1.sm_52.ptx 48 : 1392384 12543776 0 0 0 0 0 0 0 
a.1.sm_52.ptx 49 : 1392384 284647104 0 0 0 125048 43512 0 0 
a.1.sm_52.ptx 50 : 1392384 110479200 0 0 0 87024 43512 0 0 
a.1.sm_52.ptx 51 : 1392384 15231200 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 1392384 14013600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 53 : 1392384 14301440 0 0 0 0 0 0 0 
a.1.sm_52.ptx 54 : 1392384 14711264 0 0 0 0 0 0 0 
