kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 163 : 5000 45000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 162 : 5000 30242 0 0 0 0 0 0 0 
a.1.sm_52.ptx 161 : 5000 32679 0 0 0 0 0 0 0 
a.1.sm_52.ptx 159 : 6400 8173 0 0 0 0 0 0 50 
a.1.sm_52.ptx 158 : 6400 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 6400 38816 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 120320 652320 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 120320 786560 0 0 0 0 0 0 0 
a.1.sm_52.ptx 152 : 120320 1154592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 151 : 120320 1149504 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 101448 304344 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 150 : 120320 606528 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 101448 913319 0 0 0 0 0 0 0 
a.1.sm_52.ptx 145 : 101448 731841 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 144 : 101448 913137 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 101448 599830 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 101448 645378 0 0 0 0 0 0 0 
a.1.sm_52.ptx 140 : 120320 109881 0 0 0 0 0 0 940 
a.1.sm_52.ptx 139 : 120320 757504 0 0 0 0 0 0 0 
a.1.sm_52.ptx 137 : 126720 35744 0 0 0 0 0 0 0 
a.1.sm_52.ptx 136 : 126720 768416 0 0 0 0 0 0 0 
a.1.sm_52.ptx 132 : 106448 533207 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 106448 319614 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 130 : 106448 959080 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 106448 536085 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 106448 958181 0 0 0 0 0 0 0 
a.1.sm_52.ptx 127 : 106448 16636984 0 0 0 16704 3663 0 0 
a.1.sm_52.ptx 135 : 126720 642752 0 0 0 0 0 0 0 
a.1.sm_52.ptx 126 : 106448 958769 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 106448 958128 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 106448 1916285 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 106448 771768 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 122 : 106448 1916192 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 106448 766912 0 3663 3663 0 0 0 0 
