kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 163 : 5000 51550 0 0 0 0 0 0 0 
a.1.sm_52.ptx 162 : 5000 33037 0 0 0 0 0 0 0 
a.1.sm_52.ptx 161 : 5000 35496 0 0 0 0 0 0 0 
a.1.sm_52.ptx 159 : 6400 8934 0 0 0 0 0 0 50 
a.1.sm_52.ptx 158 : 6400 45088 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 6400 45408 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 120320 942944 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 120320 1163232 0 0 0 0 0 0 0 
a.1.sm_52.ptx 152 : 120320 1316768 0 0 0 0 0 0 0 
a.1.sm_52.ptx 151 : 120320 1382944 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 101448 429593 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 150 : 120320 726048 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 101448 1027872 0 0 0 0 0 0 0 
a.1.sm_52.ptx 145 : 101448 3165512 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 144 : 101448 1034397 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 101448 634343 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 101448 717590 0 0 0 0 0 0 0 
a.1.sm_52.ptx 140 : 120320 122662 0 0 0 0 0 0 940 
a.1.sm_52.ptx 139 : 120320 868992 0 0 0 0 0 0 0 
a.1.sm_52.ptx 137 : 126720 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 136 : 126720 901728 0 0 0 0 0 0 0 
a.1.sm_52.ptx 132 : 106448 642286 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 106448 462288 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 130 : 106448 1104493 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 106448 644341 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 106448 1122109 0 0 0 0 0 0 0 
a.1.sm_52.ptx 127 : 106448 19896246 0 0 0 6921 3663 0 0 
a.1.sm_52.ptx 135 : 126720 779584 0 0 0 0 0 0 0 
a.1.sm_52.ptx 126 : 106448 1115798 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 106448 1107727 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 106448 2073309 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 106448 3316080 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 122 : 106448 2029412 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 106448 3364411 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 120 : 106448 1205593 0 0 0 0 0 0 0 
a.1.sm_52.ptx 119 : 106448 816790 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 106448 806384 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 106448 1184922 0 0 0 0 0 0 0 
a.1.sm_52.ptx 116 : 106448 811721 0 0 0 0 0 0 0 
a.1.sm_52.ptx 115 : 106448 1102071 0 0 0 0 0 0 0 
a.1.sm_52.ptx 114 : 106448 807899 0 0 0 0 0 0 0 
a.1.sm_52.ptx 113 : 106448 3306483 0 3663 3663 0 0 0 0 
