kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 163 : 5000 51335 0 0 0 0 0 0 0 
a.1.sm_52.ptx 162 : 5000 32666 0 0 0 0 0 0 0 
a.1.sm_52.ptx 161 : 5000 35716 0 0 0 0 0 0 0 
a.1.sm_52.ptx 159 : 6400 8613 0 0 0 0 0 0 50 
a.1.sm_52.ptx 158 : 6400 44864 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 6400 44864 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 120320 724000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 120320 1166464 0 0 0 0 0 0 0 
a.1.sm_52.ptx 152 : 120320 1230592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 151 : 120320 1203200 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 101448 435390 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 150 : 120320 723296 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 101448 1022154 0 0 0 0 0 0 0 
a.1.sm_52.ptx 145 : 101448 3160079 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 144 : 101448 1045158 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 101448 661870 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 101448 717075 0 0 0 0 0 0 0 
a.1.sm_52.ptx 140 : 120320 113508 0 0 0 0 0 0 940 
a.1.sm_52.ptx 139 : 120320 842272 0 0 0 0 0 0 0 
a.1.sm_52.ptx 137 : 126720 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 136 : 126720 888960 0 0 0 0 0 0 0 
a.1.sm_52.ptx 132 : 106448 648263 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 106448 444560 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 130 : 106448 1090163 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 106448 665308 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 106448 1093143 0 0 0 0 0 0 0 
a.1.sm_52.ptx 127 : 106448 20941053 0 0 0 6921 3663 0 0 
a.1.sm_52.ptx 135 : 126720 771648 0 0 0 0 0 0 0 
a.1.sm_52.ptx 126 : 106448 1152532 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 106448 1256738 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 106448 2130738 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 106448 3320178 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 122 : 106448 2027409 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 106448 3320596 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 120 : 106448 1183602 0 0 0 0 0 0 0 
a.1.sm_52.ptx 119 : 106448 772736 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 106448 809704 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 106448 1207664 0 0 0 0 0 0 0 
a.1.sm_52.ptx 116 : 106448 890037 0 0 0 0 0 0 0 
a.1.sm_52.ptx 115 : 106448 1138825 0 0 0 0 0 0 0 
a.1.sm_52.ptx 114 : 106448 765018 0 0 0 0 0 0 0 
a.1.sm_52.ptx 113 : 106448 3312857 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 110 : 106448 665896 0 0 0 0 0 0 0 
a.1.sm_52.ptx 109 : 126720 129831 0 0 0 0 0 0 990 
a.1.sm_52.ptx 108 : 126720 821952 0 0 0 0 0 0 0 
a.1.sm_52.ptx 107 : 126720 936416 0 0 0 0 0 0 0 
a.1.sm_52.ptx 106 : 126720 936896 0 0 0 0 0 0 0 
a.1.sm_52.ptx 105 : 126720 951424 0 0 0 0 0 0 0 
a.1.sm_52.ptx 104 : 126720 937984 0 0 0 0 0 0 0 
a.1.sm_52.ptx 103 : 126720 908256 0 0 0 0 0 0 0 
a.1.sm_52.ptx 65 : 5792 49940 0 0 0 0 0 0 0 
a.1.sm_52.ptx 62 : 5792 44900 0 0 0 0 0 0 0 
a.1.sm_52.ptx 61 : 6400 4100 0 0 0 0 0 0 10 
a.1.sm_52.ptx 60 : 6400 56608 0 0 0 0 0 0 0 
a.1.sm_52.ptx 59 : 6400 59424 0 0 0 0 0 0 0 
a.1.sm_52.ptx 58 : 6400 57568 0 0 0 0 0 0 0 
a.1.sm_52.ptx 57 : 6400 131552 0 0 0 0 0 0 0 
a.1.sm_52.ptx 56 : 6400 73504 0 0 0 0 0 0 0 
a.1.sm_52.ptx 55 : 6400 71808 0 0 0 0 0 0 0 
a.1.sm_52.ptx 54 : 6400 53504 0 0 0 0 0 0 0 
a.1.sm_52.ptx 53 : 6400 46656 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 6400 65344 0 0 0 0 0 0 0 
