kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 163 : 5000 45064 0 0 0 0 0 0 0 
a.1.sm_52.ptx 162 : 5000 30009 0 0 0 0 0 0 0 
a.1.sm_52.ptx 161 : 5000 31799 0 0 0 0 0 0 0 
a.1.sm_52.ptx 159 : 6400 8168 0 0 0 0 0 0 50 
a.1.sm_52.ptx 158 : 6400 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 6400 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 120320 640256 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 120320 768672 0 0 0 0 0 0 0 
a.1.sm_52.ptx 152 : 120320 1144256 0 0 0 0 0 0 0 
a.1.sm_52.ptx 151 : 120320 1126240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 101448 304344 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 150 : 120320 607168 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 101448 913533 0 0 0 0 0 0 0 
a.1.sm_52.ptx 145 : 101448 725398 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 144 : 101448 913032 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 101448 596000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 101448 655330 0 0 0 0 0 0 0 
a.1.sm_52.ptx 140 : 120320 108445 0 0 0 0 0 0 940 
a.1.sm_52.ptx 139 : 120320 757344 0 0 0 0 0 0 0 
a.1.sm_52.ptx 137 : 126720 34528 0 0 0 0 0 0 0 
a.1.sm_52.ptx 136 : 126720 768192 0 0 0 0 0 0 0 
a.1.sm_52.ptx 132 : 106448 533468 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 106448 320244 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 130 : 106448 959104 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 106448 535488 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 106448 958082 0 0 0 0 0 0 0 
a.1.sm_52.ptx 127 : 106448 16479881 0 0 0 16704 3663 0 0 
a.1.sm_52.ptx 126 : 106448 958841 0 0 0 0 0 0 0 
a.1.sm_52.ptx 135 : 126720 642240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 106448 958032 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 106448 1916124 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 106448 777952 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 122 : 106448 1916064 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 106448 790715 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 120 : 106448 972789 0 0 0 0 0 0 0 
a.1.sm_52.ptx 119 : 106448 643334 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 106448 641189 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 106448 978646 0 0 0 0 0 0 0 
a.1.sm_52.ptx 116 : 106448 664649 0 0 0 0 0 0 0 
a.1.sm_52.ptx 115 : 106448 970997 0 0 0 0 0 0 0 
a.1.sm_52.ptx 114 : 106448 660830 0 0 0 0 0 0 0 
a.1.sm_52.ptx 113 : 106448 771372 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 110 : 106448 606766 0 0 0 0 0 0 0 
a.1.sm_52.ptx 109 : 126720 109979 0 0 0 0 0 0 990 
a.1.sm_52.ptx 108 : 126720 701088 0 0 0 0 0 0 0 
a.1.sm_52.ptx 107 : 126720 775840 0 0 0 0 0 0 0 
a.1.sm_52.ptx 106 : 126720 771776 0 0 0 0 0 0 0 
a.1.sm_52.ptx 105 : 126720 765184 0 0 0 0 0 0 0 
a.1.sm_52.ptx 104 : 126720 764032 0 0 0 0 0 0 0 
a.1.sm_52.ptx 103 : 126720 764608 0 0 0 0 0 0 0 
a.1.sm_52.ptx 65 : 5792 37936 0 0 0 0 0 0 0 
a.1.sm_52.ptx 62 : 5792 33316 0 0 0 0 0 0 0 
a.1.sm_52.ptx 61 : 6400 3372 0 0 0 0 0 0 10 
a.1.sm_52.ptx 60 : 6400 38464 0 0 0 0 0 0 0 
a.1.sm_52.ptx 59 : 6400 40640 0 0 0 0 0 0 0 
a.1.sm_52.ptx 58 : 6400 41312 0 0 0 0 0 0 0 
a.1.sm_52.ptx 57 : 6400 117984 0 0 0 0 0 0 0 
a.1.sm_52.ptx 56 : 6400 59776 0 0 0 0 0 0 0 
a.1.sm_52.ptx 55 : 6400 59392 0 0 0 0 0 0 0 
a.1.sm_52.ptx 54 : 6400 39360 0 0 0 0 0 0 0 
a.1.sm_52.ptx 53 : 6400 39040 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 6400 57824 0 0 0 0 0 0 0 
a.1.sm_52.ptx 51 : 6400 32000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 50 : 6400 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 66 : 5792 54956 0 0 0 0 0 0 0 
a.1.sm_52.ptx 164 : 5000 35692 0 185 185 0 0 0 0 
a.1.sm_52.ptx 37 : 6400 686080 0 0 0 0 0 0 0 
a.1.sm_52.ptx 96 : 126720 768128 0 0 0 0 0 0 0 
