kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 163 : 5000 51138 0 0 0 0 0 0 0 
a.1.sm_52.ptx 162 : 5000 32066 0 0 0 0 0 0 0 
a.1.sm_52.ptx 161 : 5000 36682 0 0 0 0 0 0 0 
a.1.sm_52.ptx 159 : 6400 8900 0 0 0 0 0 0 50 
a.1.sm_52.ptx 158 : 6400 45184 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 6400 45344 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 120320 775968 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 120320 1089024 0 0 0 0 0 0 0 
a.1.sm_52.ptx 152 : 120320 1310336 0 0 0 0 0 0 0 
a.1.sm_52.ptx 151 : 120320 1251808 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 101448 420371 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 150 : 120320 723520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 101448 1025033 0 0 0 0 0 0 0 
a.1.sm_52.ptx 145 : 101448 3165488 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 144 : 101448 1041419 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 101448 654046 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 101448 732977 0 0 0 0 0 0 0 
a.1.sm_52.ptx 140 : 120320 116791 0 0 0 0 0 0 940 
a.1.sm_52.ptx 139 : 120320 853856 0 0 0 0 0 0 0 
a.1.sm_52.ptx 137 : 126720 38496 0 0 0 0 0 0 0 
a.1.sm_52.ptx 136 : 126720 901856 0 0 0 0 0 0 0 
a.1.sm_52.ptx 132 : 106448 647269 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 106448 443580 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 130 : 106448 1081762 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 106448 652594 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 106448 1084679 0 0 0 0 0 0 0 
a.1.sm_52.ptx 127 : 106448 20752064 0 0 0 6921 3663 0 0 
a.1.sm_52.ptx 135 : 126720 769664 0 0 0 0 0 0 0 
a.1.sm_52.ptx 126 : 106448 1140622 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 106448 1192972 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 106448 2100841 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 106448 3322350 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 122 : 106448 2026003 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 106448 3328934 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 120 : 106448 1187112 0 0 0 0 0 0 0 
a.1.sm_52.ptx 119 : 106448 782065 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 106448 819360 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 106448 1183710 0 0 0 0 0 0 0 
a.1.sm_52.ptx 116 : 106448 866818 0 0 0 0 0 0 0 
a.1.sm_52.ptx 115 : 106448 1136735 0 0 0 0 0 0 0 
a.1.sm_52.ptx 114 : 106448 774047 0 0 0 0 0 0 0 
a.1.sm_52.ptx 113 : 106448 3320562 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 110 : 106448 675612 0 0 0 0 0 0 0 
a.1.sm_52.ptx 109 : 126720 129432 0 0 0 0 0 0 990 
a.1.sm_52.ptx 108 : 126720 820448 0 0 0 0 0 0 0 
a.1.sm_52.ptx 107 : 126720 945824 0 0 0 0 0 0 0 
a.1.sm_52.ptx 106 : 126720 942816 0 0 0 0 0 0 0 
a.1.sm_52.ptx 105 : 126720 939808 0 0 0 0 0 0 0 
a.1.sm_52.ptx 104 : 126720 929312 0 0 0 0 0 0 0 
a.1.sm_52.ptx 103 : 126720 914592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 65 : 5792 46072 0 0 0 0 0 0 0 
a.1.sm_52.ptx 62 : 5792 41948 0 0 0 0 0 0 0 
a.1.sm_52.ptx 61 : 6400 4108 0 0 0 0 0 0 10 
a.1.sm_52.ptx 60 : 6400 55520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 59 : 6400 61216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 58 : 6400 58176 0 0 0 0 0 0 0 
a.1.sm_52.ptx 57 : 6400 130336 0 0 0 0 0 0 0 
a.1.sm_52.ptx 56 : 6400 72288 0 0 0 0 0 0 0 
a.1.sm_52.ptx 55 : 6400 70208 0 0 0 0 0 0 0 
a.1.sm_52.ptx 54 : 6400 50944 0 0 0 0 0 0 0 
a.1.sm_52.ptx 53 : 6400 47584 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 6400 66336 0 0 0 0 0 0 0 
a.1.sm_52.ptx 51 : 6400 41664 0 0 0 0 0 0 0 
a.1.sm_52.ptx 50 : 6400 46048 0 0 0 0 0 0 0 
a.1.sm_52.ptx 66 : 5792 62792 0 0 0 0 0 0 0 
a.1.sm_52.ptx 164 : 5000 155993 0 185 185 0 0 0 0 
a.1.sm_52.ptx 37 : 6400 721920 0 0 0 0 0 0 0 
a.1.sm_52.ptx 96 : 126720 956032 0 0 0 0 0 0 0 
a.1.sm_52.ptx 67 : 5792 61316 0 0 0 0 0 0 0 
a.1.sm_52.ptx 165 : 5000 36653 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 6400 721920 0 0 0 0 0 0 0 
a.1.sm_52.ptx 97 : 126720 1323936 0 0 0 0 0 0 0 
a.1.sm_52.ptx 166 : 5000 51875 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 6400 721984 0 0 0 0 0 0 0 
a.1.sm_52.ptx 98 : 126720 952512 0 0 0 0 0 0 0 
a.1.sm_52.ptx 167 : 5000 51712 0 0 0 0 0 0 0 
a.1.sm_52.ptx 40 : 6400 723328 0 0 0 0 0 0 0 
a.1.sm_52.ptx 99 : 126720 837216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 168 : 5000 33353 0 0 0 329 185 0 0 
a.1.sm_52.ptx 41 : 6400 365504 0 0 0 0 0 0 0 
a.1.sm_52.ptx 100 : 126720 1298848 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 6400 38016 0 0 0 0 0 0 0 
a.1.sm_52.ptx 101 : 126720 1282144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 6400 23040 0 0 0 0 0 0 0 
a.1.sm_52.ptx 102 : 126720 1274336 0 0 0 0 0 0 0 
a.1.sm_52.ptx 171 : 6400 38432 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 6400 38880 0 0 0 0 0 0 0 
a.1.sm_52.ptx 45 : 6400 47648 0 0 0 0 0 0 0 
a.1.sm_52.ptx 46 : 6400 41536 0 0 0 0 0 0 0 
a.1.sm_52.ptx 47 : 6400 67296 0 0 0 0 0 0 0 
a.1.sm_52.ptx 48 : 6400 66720 0 0 0 0 0 0 0 
a.1.sm_52.ptx 49 : 6400 65728 0 0 0 0 0 0 0 
a.1.sm_52.ptx 68 : 5792 1255724 0 0 0 357 185 0 0 
a.1.sm_52.ptx 69 : 5792 41664 0 0 0 0 0 0 0 
a.1.sm_52.ptx 70 : 5792 36416 0 0 0 0 0 0 0 
a.1.sm_52.ptx 71 : 5792 58240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 72 : 5792 23392 0 185 185 0 0 0 0 
a.1.sm_52.ptx 75 : 6400 38624 0 0 0 0 0 0 0 
a.1.sm_52.ptx 76 : 6400 44960 0 0 0 0 0 0 0 
a.1.sm_52.ptx 77 : 6400 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 79 : 6400 46944 0 0 0 0 0 0 0 
a.1.sm_52.ptx 80 : 6400 41952 0 0 0 0 0 0 0 
a.1.sm_52.ptx 81 : 6400 66784 0 0 0 0 0 0 0 
