kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 163 : 5000 47095 0 0 0 0 0 0 0 
a.1.sm_52.ptx 162 : 5000 29550 0 0 0 0 0 0 0 
a.1.sm_52.ptx 161 : 5000 30000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 159 : 6400 7000 0 0 0 0 0 0 50 
a.1.sm_52.ptx 158 : 6400 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 6400 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 120320 607232 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 120320 1162752 0 0 0 0 0 0 0 
a.1.sm_52.ptx 152 : 120320 1334752 0 0 0 0 0 0 0 
a.1.sm_52.ptx 151 : 120320 1199424 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 101448 376258 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 146 : 101448 913283 0 0 0 0 0 0 0 
a.1.sm_52.ptx 145 : 101448 2623080 0 3478 3478 0 0 0 0 
a.1.sm_52.ptx 144 : 101448 955672 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 101448 600582 0 0 0 0 0 0 0 
a.1.sm_52.ptx 150 : 120320 606816 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 101448 608688 0 0 0 0 0 0 0 
a.1.sm_52.ptx 140 : 120320 94360 0 0 0 0 0 0 940 
a.1.sm_52.ptx 139 : 120320 721920 0 0 0 0 0 0 0 
a.1.sm_52.ptx 137 : 126720 32000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 136 : 126720 760320 0 0 0 0 0 0 0 
a.1.sm_52.ptx 132 : 106448 532842 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 106448 324659 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 130 : 106448 979144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 106448 534102 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 106448 958032 0 0 0 0 0 0 0 
a.1.sm_52.ptx 127 : 106448 22005937 0 0 0 16704 3663 0 0 
a.1.sm_52.ptx 126 : 106448 958687 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 106448 964511 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 106448 1917651 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 106448 2558205 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 122 : 106448 1931225 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 106448 2576105 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 120 : 106448 978701 0 0 0 0 0 0 0 
a.1.sm_52.ptx 119 : 106448 638744 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 106448 695004 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 106448 982918 0 0 0 0 0 0 0 
a.1.sm_52.ptx 116 : 106448 660152 0 0 0 0 0 0 0 
a.1.sm_52.ptx 115 : 106448 979585 0 0 0 0 0 0 0 
a.1.sm_52.ptx 114 : 106448 641358 0 0 0 0 0 0 0 
a.1.sm_52.ptx 113 : 106448 2576366 0 3663 3663 0 0 0 0 
a.1.sm_52.ptx 110 : 106448 538582 0 0 0 0 0 0 0 
a.1.sm_52.ptx 135 : 126720 634464 0 0 0 0 0 0 0 
a.1.sm_52.ptx 109 : 126720 102154 0 0 0 0 0 0 990 
a.1.sm_52.ptx 108 : 126720 642752 0 0 0 0 0 0 0 
a.1.sm_52.ptx 107 : 126720 764864 0 0 0 0 0 0 0 
a.1.sm_52.ptx 106 : 126720 760320 0 0 0 0 0 0 0 
a.1.sm_52.ptx 105 : 126720 760320 0 0 0 0 0 0 0 
a.1.sm_52.ptx 104 : 126720 760320 0 0 0 0 0 0 0 
a.1.sm_52.ptx 103 : 126720 760800 0 0 0 0 0 0 0 
a.1.sm_52.ptx 65 : 5792 36324 0 0 0 0 0 0 0 
a.1.sm_52.ptx 62 : 5792 32512 0 0 0 0 0 0 0 
a.1.sm_52.ptx 61 : 6400 3200 0 0 0 0 0 0 10 
a.1.sm_52.ptx 60 : 6400 40000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 59 : 6400 42400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 58 : 6400 44000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 57 : 6400 117600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 56 : 6400 63200 0 0 0 0 0 0 0 
a.1.sm_52.ptx 55 : 6400 61600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 54 : 6400 43200 0 0 0 0 0 0 0 
a.1.sm_52.ptx 53 : 6400 50400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 6400 66400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 51 : 6400 32000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 50 : 6400 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 66 : 5792 52900 0 0 0 0 0 0 0 
a.1.sm_52.ptx 164 : 5000 129241 0 185 185 0 0 0 0 
a.1.sm_52.ptx 37 : 6400 30400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 96 : 126720 769376 0 0 0 0 0 0 0 
a.1.sm_52.ptx 165 : 5000 32168 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 6400 71200 0 0 0 0 0 0 0 
a.1.sm_52.ptx 97 : 126720 1143520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 166 : 5000 47381 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 6400 97600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 98 : 126720 760480 0 0 0 0 0 0 0 
a.1.sm_52.ptx 167 : 5000 45000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 40 : 6400 102400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 99 : 126720 644704 0 0 0 0 0 0 0 
a.1.sm_52.ptx 168 : 5000 85579 0 0 0 782 185 0 0 
a.1.sm_52.ptx 41 : 6400 102400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 100 : 126720 1140480 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 6400 102400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 101 : 126720 1158240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 6400 100000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 102 : 126720 1140480 0 0 0 0 0 0 0 
a.1.sm_52.ptx 171 : 6400 32224 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 6400 63200 0 0 0 0 0 0 0 
a.1.sm_52.ptx 45 : 6400 39200 0 0 0 0 0 0 0 
a.1.sm_52.ptx 75 : 6400 32000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 46 : 6400 36000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 47 : 6400 58400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 48 : 6400 57600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 49 : 6400 57600 0 0 0 0 0 0 0 
a.1.sm_52.ptx 67 : 5792 52128 0 0 0 0 0 0 0 
a.1.sm_52.ptx 68 : 5792 1359712 1024 0 0 896 185 0 0 
a.1.sm_52.ptx 69 : 5792 34752 0 0 0 0 0 0 0 
a.1.sm_52.ptx 70 : 5792 29500 0 0 0 0 0 0 0 
a.1.sm_52.ptx 71 : 5792 52128 0 0 0 0 0 0 0 
a.1.sm_52.ptx 72 : 5792 17504 0 185 185 0 0 0 0 
a.1.sm_52.ptx 76 : 6400 38400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 77 : 6400 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 79 : 6400 38400 0 0 0 0 0 0 0 
